topicid,title,year
0,Journal of the ACM,1955
0,Communications of the ACM,1964
0,Journal of the ACM,1964
0,Journal of the ACM,1965
0,Communications of the ACM,1969
0,ACM SIGARCH Computer Architecture News,1973
0,ACM SIGCSE Bulletin,1975
0,Journal of the ACM,1975
0,ACM SIGARCH Computer Architecture News,1976
0,ACM SIGDA Newsletter,1978
0,ACM SIGDA Newsletter,1980
0,ACM SIGMETRICS Performance Evaluation Review,1980
0,ACM Computing Surveys,1981
0,ACM SIGCSE Bulletin,1981
0,Communications of the ACM,1982
0,ACM SIGAPL APL Quote Quad,1983
0,ACM SIGAPL APL Quote Quad,1984
0,ACM SIGARCH Computer Architecture News,1984
0,ACM SIGMICRO Newsletter,1984
0,ACM SIGARCH Computer Architecture News,1985
0,ACM SIGMICRO Newsletter,1985
0,ACM SIGAPL APL Quote Quad,1986
0,ACM SIGARCH Computer Architecture News,1986
0,ACM SIGCOMM Computer Communication Review,1986
0,ACM SIGCSE Bulletin,1986
0,ACM SIGMICRO Newsletter,1986
0,ACM SIGPLAN Notices,1986
0,ACM SIGDA Newsletter,1987
0,Journal of the ACM,1987
0,ACM SIGARCH Computer Architecture News,1988
0,ACM SIGDA Newsletter,1988
0,ACM SIGMICRO Newsletter,1988
0,ACM SIGPLAN Notices,1988
0,ACM SIGARCH Computer Architecture News,1989
0,ACM SIGMICRO Newsletter,1989
0,ACM SIGPLAN Notices,1989
0,ACM Computing Surveys,1990
0,ACM SIGARCH Computer Architecture News,1990
0,ACM SIGMETRICS Performance Evaluation Review,1990
0,ACM SIGOIS Bulletin,1990
0,ACM SIGDA Newsletter,1991
0,ACM SIGSIM Simulation Digest,1991
0,Journal of the ACM,1991
0,ACM SIGDA Newsletter,1992
0,ACM SIGSMALL/PC Notes,1992
0,ACM SIGDA Newsletter,1993
0,ACM Computing Surveys,1994
0,ACM SIGSIM Simulation Digest,1994
0,IEEE/ACM Transactions on Networking,1994
0,ACM SIGARCH Computer Architecture News,1995
0,ACM SIGSIM Simulation Digest,1996
0,ACM SIGSIM Simulation Digest,1997
0,ACM Transactions on Programming Languages and Systems,1997
0,ACM SIGAda Ada Letters,1998
0,ACM SIGPLAN Notices,1998
0,Communications of the ACM,1999
0,ACM SIGARCH Computer Architecture News,2002
0,ACM SIGPLAN Notices,2002
0,ACM Transactions on Embedded Computing Systems,2004
0,ACM SIGARCH Computer Architecture News,2006
0,ACM Journal on Emerging Technologies in Computing Systems,2007
0,interactions,2008
0,ACM SIGCSE Bulletin,2009
0,ACM SIGPLAN Notices,2009
0,ACM Transactions on Reconfigurable Technology and Systems,2009
0,ACM Transactions on Reconfigurable Technology and Systems,2010
0,ACM Journal on Emerging Technologies in Computing Systems,2011
0,ACM SIGPLAN Notices,2011
0,interactions,2011
16,ACM SIGCOMM Computer Communication Review,0
16,ACM SIGPLAN Notices,0
16,Queue,0
16,Communications of the ACM,1969
16,Journal of the ACM,1969
16,ACM SIGPLAN Notices,1973
16,ACM SIGPLAN Notices,1975
16,ACM SIGSIM Simulation Digest,1976
16,ACM SIGNUM Newsletter,1978
16,ACM Transactions on Mathematical Software,1978
16,ACM SIGAPL APL Quote Quad,1979
16,ACM SIGMETRICS Performance Evaluation Review,1980
16,ACM SIGAPL APL Quote Quad,1981
16,ACM SIGCOMM Computer Communication Review,1981
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1981
16,ACM SIGMETRICS Performance Evaluation Review,1981
16,ACM SIGOA Newsletter,1981
16,ACM SIGPLAN Notices,1981
16,ACM SIGSOC Bulletin,1981
16,ACM SIGAPL APL Quote Quad,1982
16,Communications of the ACM,1982
16,ACM SIGCSE Bulletin,1983
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1983
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1984
16,ACM SIGPLAN Notices,1984
16,ACM SIGSOFT Software Engineering Notes,1984
16,ACM SIGAda Ada Letters,1986
16,ACM SIGCHI Bulletin,1986
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1986
16,ACM SIGPLAN Notices,1986
16,ACM SIGAPL APL Quote Quad,1987
16,ACM SIGAda Ada Letters,1987
