"|","item","counts"
"0","fault simulation","1200.0"
"","hardware description","800.0"
"","logic simulation","800.0"
"","digital logic","700.0"
"","register transfer","700.0"
"","high level synthesis","564.0"
"","behavioral descriptions","500.0"
"","design automation","459.0"
"","logic synthesis","433.0"
"","test","425.0"
"1","human robot","5600.0"
"","robot","3095.0"
"","mobile robot","2200.0"
"","humanoid robot","1800.0"
"","robot interaction","1700.0"
"","robots","1435.0"
"","human robot interaction","1400.0"
"","mobile robots","1200.0"
"","autonomous robots","1100.0"
"","humans robots","1000.0"
"2","image based","916.0"
"","video based","800.0"
"","image analysis","400.0"
"","image editing","400.0"
"","level set","400.0"
"","multi view","400.0"
"","progressive image","400.0"
"","light field","376.0"
"","image","351.0"
"","image segmentation","302.0"
"3","web pages","1983.0"
"","web graph","1300.0"
"","web search","1172.0"
"","web page","1135.0"
"","web spam","900.0"
"","search engine","833.0"
"","web data","800.0"
"","search engines","792.0"
"","link","701.0"
"","link structure","700.0"
"4","ethical issues","500.0"
"","computer science","498.0"
"","ethics","438.0"
"","arch newsgroup forum discussion computer","400.0"
"","computer ethics","400.0"
"","initiated policies","400.0"
"","professional ethics","400.0"
"","software piracy","400.0"
"","ethical","391.0"
"","computer literacy","300.0"
"5","sensor networks","4091.0"
"","sensor network","2178.0"
"","wireless sensor","1502.0"
"","wireless sensor networks","1148.0"
"","sensor nodes","1112.0"
"","sensor","1046.0"
"","sensor readings","800.0"
"","localization","766.0"
"","sensor fusion","700.0"
"","coverage connectivity","600.0"
"6","handwriting recognition","800.0"
"","pen based","600.0"
"","sketch recognition","600.0"
"","character recognition","500.0"
"","document analysis","500.0"
"","recognition accuracy","500.0"
"","document image analysis","400.0"
"","document images","400.0"
"","handwritten character recognition","400.0"
"","ocr errors","400.0"
"7","hoc networks","990.0"
"","trust management","500.0"
"","distance bounding","400.0"
"","mobile nodes","400.0"
"","secure wireless","400.0"
"","mobile hoc","361.0"
"","hoc","309.0"
"","coordinate system","300.0"
"","signature verifications","300.0"
"","trust based","300.0"
"8","high dimensional","900.0"
"","spatial data","803.0"
"","index structures","700.0"
"","spatial objects","700.0"
"","aggregate queries","600.0"
"","dimensional space","600.0"
"","geographical data","600.0"
"","queries data","600.0"
"","spatial join","500.0"
"","spatial queries","500.0"
"9","rapid prototyping","900.0"
"","software reuse","778.0"
"","end user","693.0"
"","end users","601.0"
"","end user programmers","600.0"
"","simulations spreadsheets","600.0"
"","software tools","358.0"
"","reuse","333.0"
"","reusable components","250.0"
"","software engineering","249.0"
"10","pre service","400.0"
"","student consultants","300.0"
"","cisco community","200.0"
"","collaboration deploy","200.0"
"","constellation enterprise","200.0"
"","customer support phone","200.0"
"","department model","200.0"
"","desk desk","200.0"
"","employees job","200.0"
"","graduate service","200.0"
"11","wavelet transform","2000.0"
"","video coding","800.0"
"","image compression","700.0"
"","image quality","700.0"
"","super resolution","700.0"
"","wavelet coefficients","600.0"
"","jpeg images","500.0"
"","vector quantization","500.0"
"","image processing","401.0"
"","backlight scaling","400.0"
"12","cache misses","3800.0"
"","cache miss","2800.0"
"","cache performance","1700.0"
"","cache behavior","1400.0"
"","cache","1345.0"
"","cache replacement","1200.0"
"","cache conscious","1000.0"
"","cache lines","900.0"
