topicid,item,counts
0,fault simulation,1200
,hardware description,800
,logic simulation,800
,digital logic,700
,register transfer,700
,high level synthesis,564
,behavioral descriptions,500
,design automation,459
,logic synthesis,433
,test,425
1,human robot,5600
,robot,3095
,mobile robot,2200
,humanoid robot,1800
,robot interaction,1700
,robots,1435
,human robot interaction,1400
,mobile robots,1200
,autonomous robots,1100
,humans robots,1000
2,image based,916
,video based,800
,image analysis,400
,image editing,400
,level set,400
,multi view,400
,progressive image,400
,light field,376
,image,351
,image segmentation,302
3,web pages,1983
,web graph,1300
,web search,1172
,web page,1135
,web spam,900
,search engine,833
,web data,800
,search engines,792
,link,701
,link structure,700
4,ethical issues,500
,computer science,498
,ethics,438
,arch newsgroup forum discussion computer,400
,computer ethics,400
,initiated policies,400
,professional ethics,400
,software piracy,400
,ethical,391
,computer literacy,300
5,sensor networks,4091
,sensor network,2178
,wireless sensor,1502
,wireless sensor networks,1148
,sensor nodes,1112
,sensor,1046
,sensor readings,800
,localization,766
,sensor fusion,700
,coverage connectivity,600
6,handwriting recognition,800
,pen based,600
,sketch recognition,600
,character recognition,500
,document analysis,500
,recognition accuracy,500
,document image analysis,400
,document images,400
,handwritten character recognition,400
,ocr errors,400
7,hoc networks,990
,trust management,500
,distance bounding,400
,mobile nodes,400
,secure wireless,400
,mobile hoc,361
,hoc,309
,coordinate system,300
,signature verifications,300
,trust based,300
8,high dimensional,900
,spatial data,803
,index structures,700
,spatial objects,700
,aggregate queries,600
,dimensional space,600
,geographical data,600
,queries data,600
,spatial join,500
,spatial queries,500
9,rapid prototyping,900
,software reuse,778
,end user,693
,end users,601
,end user programmers,600
,simulations spreadsheets,600
,software tools,358
,reuse,333
,reusable components,250
,software engineering,249
10,pre service,400
,student consultants,300
,cisco community,200
,collaboration deploy,200
,constellation enterprise,200
,customer support phone,200
,department model,200
,desk desk,200
,employees job,200
,graduate service,200
11,wavelet transform,2000
,video coding,800
,image compression,700
,image quality,700
,super resolution,700
,wavelet coefficients,600
,jpeg images,500
,vector quantization,500
,image processing,401
,backlight scaling,400
12,cache misses,3800
,cache miss,2800
,cache performance,1700
,cache behavior,1400
,cache,1345
,cache replacement,1200
,cache conscious,1000
,cache lines,900
,memory hierarchy,809
,cache hierarchy,800
13,game play,3242
,video games,2664
,online games,2500
,multiplayer games,2200
,game,2141
,game playing,1800
,player game,1800
,video game,1800
,playing game,1600
,game players,1500
14,computer graphics,1879
,interactive graphics,976
,graphics system,900
,computer aided,832
,interactive graphical,600
,interactive system,600
,graphics capabilities,500
,graphics package,500
,interactive computer graphics,500
,output devices,500
15,information theoretic,1300
,mutual information,900
,information content,600
,information theory,600
,bayesian network,400
,bayesian networks,302
,amount information,300
,based approach,300
,business information,300
,communication channels,300
16,source code,3594
,reverse engineering,2100
,software maintenance,900
,software documentation,800
,refactoring,737
,bad smells,600
,code fragments,600
,error prone,600
,software evolution,531
,code code,500
17,computer science,7311
,undergraduate curriculum,1900
,science,1702
,curriculum,1556
,computer science curriculum,1001
,high school,1000
,students,842
,teaching computer,832
,science education,812
,school,756
18,test cases,7473
,test case,3600
,test suite,3300
,software testing,2500
,testing,2499
,regression testing,1900
,test,1760
,automated testing,1700
,based testing,1500
,test coverage,1400
19,aspect oriented,11500
,crosscutting concerns,3500
,object oriented,2869
,aspect oriented programming,2400
,aspect,1401
,aspect oriented programming aop,1300
,join point,1300
,separation concerns,1290
,oriented programming,1029
,programming aop,1000
20,digital library,13625
,digital libraries,12446
,digital preservation,1400
,library,1383
,cultural heritage,1100
,libraries,994
,digital,752
,digital archives,700
,digital documents,700
,metadata,650
21,model driven,2700
,model transformations,1500
,design patterns,1467
,design pattern,1300
,pattern based,1000
,driven development,900
,object oriented,861
,component model,800
,model driven development,800
,web applications,683
22,ada tasking,1500
,iso iec,1500
,ada language,900
,ada compiler,500
,iso standards,500
,standard code,500
,standard,497
,standards,459
,ada ada,400
,distributed ada,400
23,expressive power,1100
,query languages,900
,query language,854
,relational algebra,800
,deductive databases,700
,deductive database,600
,magic sets,500
,view maintenance,500
,transitive closure,416
,constraint databases,400
24,user interface,1915
,user interfaces,1578
,direct manipulation,1400
,graphical interface,1000
,graphical user,800
,graphical user interface,700
,user interface management,600
,graphical user interfaces,500
,interface toolkit,500
,interface user,500
25,open source,4458
,open source software,2600
,source software,1200
,source code,1021
,bug fixes,1000
,bug reports,700
,open source projects,700
,open,669
,free open source,600
,software repositories,600
26,parallel computing,2100
,parallel programming,2076
,parallel applications,1700
,parallel implementation,1400
,parallel computation,1100
,parallel execution,1100
,performance computing,1100
,scalable parallel,1000
,performance parallel,800
,parallel programs,795
27,exception handling,2100
,autonomic computing,1700
,reflective middleware,1000
,dynamic adaptation,900
,adaptive systems,700
,fault tolerance,679
,autonomic systems,600
,software engineering,548
,adaptation,513
,dynamic updates,500
28,topic models,1300
,learning rank,1200
,language models,1000
,probabilistic latent,600
,probabilistic models,600
,information retrieval,550
,cross lingual,500
,dirichlet allocation,500
,language model,500
,topic model,500
29,information flow,3800
,access control,1241
,information flows,1000
,security policies,707
,memory protection,600
,security policy,493
,covert timing channels,400
,information flow policy,400
,mobile code,400
,secure information flow,400
30,panel discussion,1500
,international workshop,1483
,researchers practitioners,1400
,challenges opportunities,1300
,acm international workshop,1100
,panel session,1100
,research community,1100
,research issues,1100
,tutorial session,1100
,research area,1000
31,multi touch,1700
,touch,1315
,input device,1200
,interaction techniques,1100
,multi user,1100
,touch screen,800
,mobile devices,777
,user interface,706
,screen,672
,devices,479
32,cost estimation,900
,effort estimation,800
,software engineering,722
,software effort,700
,effort required,500
,software teams,500
,software projects,455
,software project,421
,development effort,400
,development projects,400
33,register allocation,4100
,code generated,800
,optimized code,800
,code optimization,500
,compiler optimization,500
,number registers,500
,register pressure,500
,compiler optimizations,487
,optimizing compiler,375
,code generation,362
34,optical networks,1100
,virtual network,1000
,area network,900
,area networks,800
,network architecture,700
,local area,600
,local area network,600
,gigabit ethernet,500
,local network,500
,optical,425
35,decision support,4200
,data warehouse,2200
,data warehousing,1700
,data warehouses,1500
,data cube,1200
,decision support system,1200
,supply chain,612
,decision making,609
,decision makers,517
,decision table,500
36,delay tolerant,1900
,air traffic,1600
,disruption tolerant,1500
,air traffic control,800
,traffic control,700
,command control,600
,military operations,600
,real time,523
,control system,500
,control systems,500
37,requirements engineering,3500
,requirements,1916
,requirements specification,1600
,functional requirements,900
,requirements specifications,900
,traceability links,700
,uml models,700
,software engineering,623
,requirements analysis,600
,formal specification,443
38,electronic commerce,4100
,supply chain,816
,buying selling,800
,social welfare,800
,market,781
,online auctions,700
,stock market,700
,nash equilibrium,675
,commerce,633
,electronic markets,600
39,apl,3421
,apl language,1000
,apl apl,900
,apl programs,900
,apl functions,700
,apl pthis,700
,language apl,700
,apl system,600
,pthis paper describes,600
,language design,500
40,embedded system,1744
,real time,1497
,embedded systems,1378
,embedded devices,900
,pembedded systems,700
,embedded applications,600
,real time embedded,577
,embedded software,444
,hardware software,346
,embedded,336
41,petri nets,7599
,petri net,4900
,program design,800
,coloured petri nets,700
,analysis design,400
,petri net model,400
,petri,350
,software engineering,349
,nets,307
,sequence charts,300
42,web services,5267
,web service,4229
,business processes,4216
,business process,3594
,service composition,3500
,service oriented,3076
,service providers,2200
,office automation,1900
,workflow management,1800
,service discovery,1536
43,fault tolerant,2387
,fault tolerance,1358
,defect tolerant,900
,defect tolerance,700
,fault diagnosis,700
,scan chain,700
,test,649
,flip flops,600
,post silicon,600
,side channel,500
44,male female,600
,males females,600
,job,526
,career,330
,skills,322
,women,309
,awarded women,300
,computer related,300
,desk consultants,300
,men women,300
45,computer science,1072
,pair programming,1000
,science courses,800
,students,689
,computer programming,600
,introductory programming,600
,programming concepts,600
,programming courses,600
,teaching students,600
,introductory,551
47,peer peer,4242
,web services,1836
,information sources,800
,peer networks,800
,web service,783
,web web,700
,information services,600
,web based,591
,peer,523
,directory services,500
48,linear programming,2529
,scheduling problem,1600
,integer programming,1000
,problem scheduling,1000
,optimization problem,812
