name,color,projects,relations
HEALTH-2007-3,#aec7e8,13,82
HEALTH,#1f77b4,174,854
ERC,#ffbb78,30,196
ERC-SG,#ff7f0e,12,92
INFRA,#98df8a,7,43
HEALTH-1,#2ca02c,27,130
PEOPLE,#ff9896,37,183
HEALTH-2007-2,#d62728,108,484
ERC-AG,#c5b0d5,11,69
ICT-2007-8,#9467bd,3,27
INFRA-1,#c49c94,9,62
REGPOT,#8c564b,4,31
KBBE-1,#f7b6d2,5,34
HEALTH-2007-4,#e377c2,14,75
KBBE,#c7c7c7,11,66
PEOPLE-1,#7f7f7f,8,52
KBBE-2,#dbdb8d,3,23
ICT-9,#bcbd22,2,15
NMP-1,#9edae5,3,14
ICT,#17becf,8,48
PEOPLE-3,#393b79,4,32
NMP-4,#5254a3,2,14
REGPOT-1,#6b6ecf,4,20
PEOPLE-2,#9c9ede,7,45
ENV,#637939,1,5
ICT-2007-1,#8ca252,1,9
ICT-4,#b5cf6b,1,8
NMP,#cedb9c,5,36
ICT-5,#8c6d31,1,3
INFRA-2,#bd9e39,1,1
ENV-1,#e7ba52,1,8
ICT-2007-5,#e7cb94,1,9
PEOPLE-4,#843c39,1,4
