name,color,projects,relations
ERC-SG,#aec7e8,112,895
ICT,#1f77b4,152,1632
PEOPLE-2,#ffbb78,59,490
ERC,#ff7f0e,216,1933
NMP-1,#98df8a,7,37
INFRA,#2ca02c,33,209
ERC-AG,#ff9896,72,585
NMP,#d62728,22,169
ICT-2007-8,#c5b0d5,45,354
PEOPLE,#9467bd,126,1016
KBBE-1,#c49c94,10,36
ENV,#8c564b,21,140
INFRA-2,#f7b6d2,8,54
ICT-2007-2,#e377c2,15,149
KBBE,#c7c7c7,34,215
ICT-9,#7f7f7f,17,147
SEC,#dbdb8d,2,5
ICT-2007-1,#bcbd22,36,654
INFRA-1,#9edae5,26,142
PEOPLE-1,#17becf,32,209
HEALTH-1,#393b79,11,17
HEALTH,#5254a3,63,175
PEOPLE-4,#6b6ecf,41,364
ICT-1,#9c9ede,8,147
KBBE-3,#637939,4,14
NMP-2,#8ca252,15,158
ICT-2007-4,#b5cf6b,8,121
SPA,#cedb9c,5,90
ENV-6-2,#8c6d31,1,2
SPA-2,#bd9e39,10,137
REGPOT-1,#e7ba52,9,49
ENERGY,#e7cb94,3,7
PEOPLE-3,#843c39,6,70
INCO,#aec7e8,1,9
HEALTH-2007-2,#1f77b4,41,73
ICT-2007-3,#ffbb78,20,191
ICT-2,#ff7f0e,3,33
ICT-5,#98df8a,6,59
KBBE-2,#2ca02c,3,11
ENERGY-8,#ff9896,1,12
ICT-2007-5,#d62728,7,25
ICT-2007-7,#c5b0d5,1,11
SME-1,#9467bd,2,20
ENV-3-,#c49c94,2,4
ICT-10,#8c564b,1,4
ICT-4,#f7b6d2,1,7
REGPOT,#e377c2,7,20
HEALTH-2007-4,#c7c7c7,5,6
ENV-2-,#7f7f7f,3,13
ERANET,#dbdb8d,2,4
ICT-2013-9,#bcbd22,3,29
ENV-1,#9edae5,4,18
NMP-3,#17becf,1,8
ENV-4-,#393b79,2,10
ICT-3,#5254a3,1,20
HEALTH-2007-3,#6b6ecf,7,24
INFRA-3,#9c9ede,3,24
NMP-4,#637939,1,8
ENERGY-3,#8ca252,1,2
REGPOT-2,#b5cf6b,1,2
SPA-1,#cedb9c,1,4
ICT-2013-5,#8c6d31,1,8
SEC-4,#bd9e39,2,6
SSH,#e7ba52,2,5
SiS-2,#e7cb94,1,1
SiS,#843c39,1,1
ENERGY-10,#ad494a,1,3
SST,#d6616b,1,3
TPT,#aec7e8,3,9
Fission-3,#1f77b4,1,1
SEC-1,#ffbb78,1,2
SEC-6,#ff7f0e,1,2
