name,color,projects,relations
PEOPLE-2,#aec7e8,13,100
ICT-9,#1f77b4,27,294
PEOPLE-1,#ffbb78,13,151
ICT-2007-8,#ff7f0e,80,618
REGPOT-1,#98df8a,1,4
ICT-2007-1,#2ca02c,7,60
ERC-AG,#ff9896,21,187
ICT-2007-2,#d62728,6,43
ICT-2013-9,#c5b0d5,4,50
HEALTH-2007-2,#9467bd,6,60
INFRA-1,#c49c94,2,16
SPA-2,#8c564b,2,18
ICT-2013-2,#f7b6d2,1,15
ERC-SG,#e377c2,22,173
NMP-1,#c7c7c7,3,18
ICT-2007-4,#7f7f7f,1,8
ICT-2013-5,#dbdb8d,1,11
ICT-1,#bcbd22,1,10
ICT-2,#9edae5,1,6
ENERGY-8,#17becf,1,6
PEOPLE-4,#393b79,3,25
ICT-5,#5254a3,1,15
REGPOT,#6b6ecf,1,3
ICT-2007-3,#9c9ede,4,34
ERANET,#637939,1,2
SEC-4,#8ca252,1,5
