topicid,title,year,weight
16,ACM SIGMOD Record,2011,0.2504
17,ACM SIGMOD Record,1993,0.3707
17,ACM SIGMOD Record,2011,0.3295
18,ACM SIGMOD Record,2007,0.5304
31,ACM SIGMOD Record,1993,0.2953
31,ACM SIGMOD Record,1995,0.26875
31,ACM SIGMOD Record,1999,0.2196
37,ACM SIGMOD Record,1980,0.24035
37,ACM SIGMOD Record,1995,0.2391
37,ACM SIGMOD Record,2006,0.2575
39,ACM SIGMOD Record,1976,0.3246
39,ACM SIGMOD Record,1977,0.2458
39,ACM SIGMOD Record,1980,0.20475
39,ACM SIGMOD Record,1993,0.2649
39,ACM SIGMOD Record,1994,0.33005
40,ACM SIGMOD Record,1986,0.2028
45,ACM SIGMOD Record,1986,0.3102
58,ACM SIGMOD Record,1996,0.333
58,ACM SIGMOD Record,2001,0.2111
58,ACM SIGMOD Record,2005,0.6249
61,ACM SIGMOD Record,1977,0.2871
61,ACM SIGMOD Record,1985,0.3447
61,ACM SIGMOD Record,1987,0.2299
61,ACM SIGMOD Record,1992,0.3065
61,ACM SIGMOD Record,1994,0.27325
61,ACM SIGMOD Record,1996,0.2612
61,ACM SIGMOD Record,1997,0.4008
61,ACM SIGMOD Record,1998,0.33235
61,ACM SIGMOD Record,2001,0.4287
61,ACM SIGMOD Record,2005,0.21085
61,ACM SIGMOD Record,2009,0.2157
61,ACM SIGMOD Record,2011,0.2843
67,ACM SIGMOD Record,1976,0.5423
67,ACM SIGMOD Record,1977,0.2866
67,ACM SIGMOD Record,1980,0.362885714
67,ACM SIGMOD Record,1987,0.204
67,ACM SIGMOD Record,1990,0.2526
74,ACM SIGMOD Record,1991,0.27145
74,ACM SIGMOD Record,1994,0.2371
97,ACM SIGMOD Record,1992,0.326
97,ACM SIGMOD Record,1993,0.31395
97,ACM SIGMOD Record,1994,0.464933333
97,ACM SIGMOD Record,1995,0.2192
97,ACM SIGMOD Record,1998,0.3726
97,ACM SIGMOD Record,1999,0.302133333
97,ACM SIGMOD Record,2000,0.3627
97,ACM SIGMOD Record,2001,0.2481
106,ACM SIGMOD Record,1985,0.3962
106,ACM SIGMOD Record,1999,0.2154
118,ACM SIGMOD Record,1985,0.3974
118,ACM SIGMOD Record,1988,0.24655
118,ACM SIGMOD Record,1991,0.2011
121,ACM SIGMOD Record,1998,0.3434
121,ACM SIGMOD Record,1999,0.2509
121,ACM SIGMOD Record,2001,0.35386
121,ACM SIGMOD Record,2006,0.5104
121,ACM SIGMOD Record,2009,0.4382
124,ACM SIGMOD Record,1980,0.3301
124,ACM SIGMOD Record,1987,0.3713
124,ACM SIGMOD Record,1988,0.3129
124,ACM SIGMOD Record,1997,0.3279
124,ACM SIGMOD Record,1998,0.4514
131,ACM SIGMOD Record,1994,0.3079
137,ACM SIGMOD Record,1996,0.2591
137,ACM SIGMOD Record,2000,0.3192
137,ACM SIGMOD Record,2001,0.5005
137,ACM SIGMOD Record,2006,0.2964
137,ACM SIGMOD Record,2008,0.4151
137,ACM SIGMOD Record,2009,0.3186
139,ACM SIGMOD Record,1992,0.429
