topicid,title,year,weight
0,Communications of the ACM,1964,0.2042
0,Communications of the ACM,1969,0.35215
0,Communications of the ACM,1982,0.5621
0,Communications of the ACM,1999,0.5633
16,Communications of the ACM,1969,0.2763
16,Communications of the ACM,1982,0.34065
16,Communications of the ACM,1988,0.4655
16,Communications of the ACM,1990,0.3473
16,Communications of the ACM,1991,0.2991
16,Communications of the ACM,1992,0.2994
16,Communications of the ACM,1994,0.352933333
16,Communications of the ACM,1996,0.2354
16,Communications of the ACM,1997,0.33435
16,Communications of the ACM,1999,0.2914
16,Communications of the ACM,2003,0.44485
16,Communications of the ACM,2004,0.2208
16,Communications of the ACM,2005,0.3921
16,Communications of the ACM,2006,0.3745
16,Communications of the ACM,2008,0.33695
16,Communications of the ACM,2009,0.5611
16,Communications of the ACM,2010,0.4465
16,Communications of the ACM,2011,0.3086
17,Communications of the ACM,1959,0.44845
17,Communications of the ACM,1964,0.343825
17,Communications of the ACM,1965,0.7741
17,Communications of the ACM,1969,0.4298
17,Communications of the ACM,1974,0.5526
17,Communications of the ACM,1978,0.3067
17,Communications of the ACM,1981,0.7751
17,Communications of the ACM,1982,0.6358
17,Communications of the ACM,1983,0.735
17,Communications of the ACM,1984,0.540057143
17,Communications of the ACM,1985,0.78578
17,Communications of the ACM,1986,0.36036
17,Communications of the ACM,1987,0.79915
17,Communications of the ACM,1988,0.4576
17,Communications of the ACM,1989,0.450685714
17,Communications of the ACM,1990,0.247133333
17,Communications of the ACM,1991,0.45916
17,Communications of the ACM,1992,0.4879
17,Communications of the ACM,1993,0.469575
17,Communications of the ACM,1994,0.4668
17,Communications of the ACM,1995,0.335171429
17,Communications of the ACM,1996,0.5425
17,Communications of the ACM,1997,0.338525
17,Communications of the ACM,1998,0.39545
17,Communications of the ACM,1999,0.3425
17,Communications of the ACM,2000,0.53455
17,Communications of the ACM,2001,0.479
17,Communications of the ACM,2002,0.40335
17,Communications of the ACM,2003,0.457725
17,Communications of the ACM,2004,0.45455
17,Communications of the ACM,2005,0.41385
17,Communications of the ACM,2006,0.320855556
17,Communications of the ACM,2007,0.436577778
17,Communications of the ACM,2008,0.324985714
17,Communications of the ACM,2009,0.430466667
17,Communications of the ACM,2010,0.39881875
17,Communications of the ACM,2011,0.3967
18,Communications of the ACM,1959,0.4027
18,Communications of the ACM,1964,0.2677
18,Communications of the ACM,1978,0.3858
18,Communications of the ACM,1982,0.44595
18,Communications of the ACM,1984,0.2069
18,Communications of the ACM,1987,0.2701
18,Communications of the ACM,1988,0.63165
18,Communications of the ACM,1990,0.26075
18,Communications of the ACM,1991,0.2979
18,Communications of the ACM,1993,0.4317
18,Communications of the ACM,1994,0.372625
18,Communications of the ACM,1995,0.3218
18,Communications of the ACM,1997,0.2768
18,Communications of the ACM,1998,0.564
18,Communications of the ACM,2004,0.3056
18,Communications of the ACM,2005,0.5584
18,Communications of the ACM,2006,0.3016
18,Communications of the ACM,2007,0.5706
18,Communications of the ACM,2009,0.2757
18,Communications of the ACM,2010,0.471666667
31,Communications of the ACM,1993,0.293475
31,Communications of the ACM,1994,0.3354
31,Communications of the ACM,1997,0.363
31,Communications of the ACM,2000,0.48585
31,Communications of the ACM,2001,0.2639
31,Communications of the ACM,2003,0.30374
31,Communications of the ACM,2004,0.4495
31,Communications of the ACM,2005,0.285
31,Communications of the ACM,2006,0.3092
31,Communications of the ACM,2008,0.370175
31,Communications of the ACM,2009,0.436
31,Communications of the ACM,2010,0.423
31,Communications of the ACM,2011,0.401725
37,Communications of the ACM,1967,0.2252
37,Communications of the ACM,1982,0.3248
37,Communications of the ACM,1983,0.26155
37,Communications of the ACM,1984,0.2885
37,Communications of the ACM,1985,0.3041
37,Communications of the ACM,1988,0.3351
37,Communications of the ACM,1989,0.3439
37,Communications of the ACM,1992,0.2382
37,Communications of the ACM,1993,0.5047
37,Communications of the ACM,1994,0.33195
37,Communications of the ACM,1995,0.33475
37,Communications of the ACM,1996,0.2158
37,Communications of the ACM,1997,0.4337
37,Communications of the ACM,1998,0.423
37,Communications of the ACM,1999,0.502533333
37,Communications of the ACM,2002,0.2496
37,Communications of the ACM,2003,0.2103
37,Communications of the ACM,2004,0.3566
