topicid,title,year
0,Communications of the ACM,1964
0,Communications of the ACM,1969
0,Communications of the ACM,1982
0,Communications of the ACM,1999
16,Communications of the ACM,1969
16,Communications of the ACM,1982
16,Communications of the ACM,1988
16,Communications of the ACM,1990
16,Communications of the ACM,1991
16,Communications of the ACM,1992
16,Communications of the ACM,1994
16,Communications of the ACM,1996
16,Communications of the ACM,1997
16,Communications of the ACM,1999
16,Communications of the ACM,2003
16,Communications of the ACM,2004
16,Communications of the ACM,2005
16,Communications of the ACM,2006
16,Communications of the ACM,2008
16,Communications of the ACM,2009
16,Communications of the ACM,2010
16,Communications of the ACM,2011
17,Communications of the ACM,1959
17,Communications of the ACM,1964
17,Communications of the ACM,1965
17,Communications of the ACM,1969
17,Communications of the ACM,1974
17,Communications of the ACM,1978
17,Communications of the ACM,1981
17,Communications of the ACM,1982
17,Communications of the ACM,1983
17,Communications of the ACM,1984
17,Communications of the ACM,1985
17,Communications of the ACM,1986
17,Communications of the ACM,1987
17,Communications of the ACM,1988
17,Communications of the ACM,1989
17,Communications of the ACM,1990
17,Communications of the ACM,1991
17,Communications of the ACM,1992
17,Communications of the ACM,1993
17,Communications of the ACM,1994
17,Communications of the ACM,1995
17,Communications of the ACM,1996
17,Communications of the ACM,1997
17,Communications of the ACM,1998
17,Communications of the ACM,1999
17,Communications of the ACM,2000
17,Communications of the ACM,2001
17,Communications of the ACM,2002
17,Communications of the ACM,2003
17,Communications of the ACM,2004
17,Communications of the ACM,2005
17,Communications of the ACM,2006
17,Communications of the ACM,2007
17,Communications of the ACM,2008
17,Communications of the ACM,2009
17,Communications of the ACM,2010
17,Communications of the ACM,2011
18,Communications of the ACM,1959
18,Communications of the ACM,1964
18,Communications of the ACM,1978
18,Communications of the ACM,1982
18,Communications of the ACM,1984
18,Communications of the ACM,1987
18,Communications of the ACM,1988
18,Communications of the ACM,1990
18,Communications of the ACM,1991
18,Communications of the ACM,1993
18,Communications of the ACM,1994
18,Communications of the ACM,1995
18,Communications of the ACM,1997
18,Communications of the ACM,1998
18,Communications of the ACM,2004
18,Communications of the ACM,2005
18,Communications of the ACM,2006
18,Communications of the ACM,2007
18,Communications of the ACM,2009
18,Communications of the ACM,2010
31,Communications of the ACM,1993
31,Communications of the ACM,1994
31,Communications of the ACM,1997
31,Communications of the ACM,2000
31,Communications of the ACM,2001
31,Communications of the ACM,2003
31,Communications of the ACM,2004
31,Communications of the ACM,2005
31,Communications of the ACM,2006
31,Communications of the ACM,2008
31,Communications of the ACM,2009
31,Communications of the ACM,2010
31,Communications of the ACM,2011
37,Communications of the ACM,1967
37,Communications of the ACM,1982
37,Communications of the ACM,1983
37,Communications of the ACM,1984
37,Communications of the ACM,1985
37,Communications of the ACM,1988
37,Communications of the ACM,1989
37,Communications of the ACM,1992
37,Communications of the ACM,1993
37,Communications of the ACM,1994
37,Communications of the ACM,1995
37,Communications of the ACM,1996
37,Communications of the ACM,1997
37,Communications of the ACM,1998
37,Communications of the ACM,1999
37,Communications of the ACM,2002
37,Communications of the ACM,2003
37,Communications of the ACM,2004
37,Communications of the ACM,2006
37,Communications of the ACM,2007
37,Communications of the ACM,2008
37,Communications of the ACM,2009
37,Communications of the ACM,2011
39,Communications of the ACM,1961
39,Communications of the ACM,1963
39,Communications of the ACM,1964
39,Communications of the ACM,1965
39,Communications of the ACM,1967
39,Communications of the ACM,1969
39,Communications of the ACM,1974
39,Communications of the ACM,1975
39,Communications of the ACM,1978
39,Communications of the ACM,1982
39,Communications of the ACM,1983
39,Communications of the ACM,1985
39,Communications of the ACM,1986
39,Communications of the ACM,1987
39,Communications of the ACM,1988
39,Communications of the ACM,1990
39,Communications of the ACM,1991
39,Communications of the ACM,1992
39,Communications of the ACM,1995
39,Communications of the ACM,1997
39,Communications of the ACM,1999
39,Communications of the ACM,2001
39,Communications of the ACM,2003
39,Communications of the ACM,2004
39,Communications of the ACM,2007
39,Communications of the ACM,2010
39,Communications of the ACM,2011
40,Communications of the ACM,1985
40,Communications of the ACM,1990
40,Communications of the ACM,1991
40,Communications of the ACM,1992
40,Communications of the ACM,1997
40,Communications of the ACM,2001
40,Communications of the ACM,2002
40,Communications of the ACM,2003
40,Communications of the ACM,2004
40,Communications of the ACM,2005
40,Communications of the ACM,2009
40,Communications of the ACM,2011
45,Communications of the ACM,1965
45,Communications of the ACM,1978
45,Communications of the ACM,1981
45,Communications of the ACM,1983
45,Communications of the ACM,1986
45,Communications of the ACM,1987
45,Communications of the ACM,1990
45,Communications of the ACM,1991
45,Communications of the ACM,1992
45,Communications of the ACM,2001
45,Communications of the ACM,2002
45,Communications of the ACM,2003
45,Communications of the ACM,2005
45,Communications of the ACM,2006
45,Communications of the ACM,2007
45,Communications of the ACM,2008
45,Communications of the ACM,2009
45,Communications of the ACM,2010
45,Communications of the ACM,2011
58,Communications of the ACM,1967
58,Communications of the ACM,1978
58,Communications of the ACM,1981
58,Communications of the ACM,1982
58,Communications of the ACM,1983
58,Communications of the ACM,1984
58,Communications of the ACM,1985
58,Communications of the ACM,1986
58,Communications of the ACM,1987
58,Communications of the ACM,1988
58,Communications of the ACM,1990
58,Communications of the ACM,1991
58,Communications of the ACM,1992
58,Communications of the ACM,1993
58,Communications of the ACM,1994
58,Communications of the ACM,1995
58,Communications of the ACM,1996
58,Communications of the ACM,1997
58,Communications of the ACM,1998
58,Communications of the ACM,1999
58,Communications of the ACM,2000
58,Communications of the ACM,2001
58,Communications of the ACM,2002
58,Communications of the ACM,2003
58,Communications of the ACM,2004
58,Communications of the ACM,2005
58,Communications of the ACM,2006
58,Communications of the ACM,2007
58,Communications of the ACM,2008
58,Communications of the ACM,2009
58,Communications of the ACM,2010
58,Communications of the ACM,2011
61,Communications of the ACM,1961
61,Communications of the ACM,1964
61,Communications of the ACM,1965
61,Communications of the ACM,1969
61,Communications of the ACM,1974
61,Communications of the ACM,1975
61,Communications of the ACM,1983
61,Communications of the ACM,1984
61,Communications of the ACM,1985
61,Communications of the ACM,1986
61,Communications of the ACM,1987
61,Communications of the ACM,1988
61,Communications of the ACM,1990
61,Communications of the ACM,1992
61,Communications of the ACM,1994
61,Communications of the ACM,1995
61,Communications of the ACM,1996
61,Communications of the ACM,2001
61,Communications of the ACM,2002
61,Communications of the ACM,2006
61,Communications of the ACM,2007
61,Communications of the ACM,2009
61,Communications of the ACM,2010
61,Communications of the ACM,2011
67,Communications of the ACM,1961
67,Communications of the ACM,1963
67,Communications of the ACM,1964
67,Communications of the ACM,1965
67,Communications of the ACM,1967
67,Communications of the ACM,1969
67,Communications of the ACM,1974
67,Communications of the ACM,1975
67,Communications of the ACM,1978
67,Communications of the ACM,1981
67,Communications of the ACM,1982
67,Communications of the ACM,1983
67,Communications of the ACM,1984
67,Communications of the ACM,1985
67,Communications of the ACM,1986
67,Communications of the ACM,1987
67,Communications of the ACM,1988
67,Communications of the ACM,1990
67,Communications of the ACM,1992
67,Communications of the ACM,1993
67,Communications of the ACM,1995
67,Communications of the ACM,1997
67,Communications of the ACM,1998
67,Communications of the ACM,2005
67,Communications of the ACM,2006
67,Communications of the ACM,2009
67,Communications of the ACM,2010
70,Communications of the ACM,1978
70,Communications of the ACM,1982
70,Communications of the ACM,1983
70,Communications of the ACM,1986
70,Communications of the ACM,1988
70,Communications of the ACM,1990
70,Communications of the ACM,1994
70,Communications of the ACM,1995
70,Communications of the ACM,1996
70,Communications of the ACM,1997
70,Communications of the ACM,1998
70,Communications of the ACM,1999
70,Communications of the ACM,2000
70,Communications of the ACM,2001
70,Communications of the ACM,2003
70,Communications of the ACM,2004
70,Communications of the ACM,2006
70,Communications of the ACM,2007
70,Communications of the ACM,2010
70,Communications of the ACM,2011
74,Communications of the ACM,1961
74,Communications of the ACM,1962
74,Communications of the ACM,1963
74,Communications of the ACM,1964
74,Communications of the ACM,1965
74,Communications of the ACM,1967
74,Communications of the ACM,1969
74,Communications of the ACM,1974
74,Communications of the ACM,1975
74,Communications of the ACM,1978
74,Communications of the ACM,1981
74,Communications of the ACM,1983
74,Communications of the ACM,1985
74,Communications of the ACM,1988
74,Communications of the ACM,1996
74,Communications of the ACM,2006
74,Communications of the ACM,2007
74,Communications of the ACM,2011
97,Communications of the ACM,1967
97,Communications of the ACM,1989
97,Communications of the ACM,1991
97,Communications of the ACM,1993
97,Communications of the ACM,1994
97,Communications of the ACM,1995
97,Communications of the ACM,1997
97,Communications of the ACM,2000
97,Communications of the ACM,2002
97,Communications of the ACM,2011
106,Communications of the ACM,1993
106,Communications of the ACM,1994
106,Communications of the ACM,1996
106,Communications of the ACM,2000
106,Communications of the ACM,2001
106,Communications of the ACM,2005
106,Communications of the ACM,2008
106,Communications of the ACM,2009
118,Communications of the ACM,1983
118,Communications of the ACM,1984
118,Communications of the ACM,1987
118,Communications of the ACM,1988
118,Communications of the ACM,1989
118,Communications of the ACM,1991
118,Communications of the ACM,1992
118,Communications of the ACM,1993
118,Communications of the ACM,1994
118,Communications of the ACM,1995
118,Communications of the ACM,1996
118,Communications of the ACM,1997
118,Communications of the ACM,1998
118,Communications of the ACM,1999
118,Communications of the ACM,2000
118,Communications of the ACM,2001
118,Communications of the ACM,2002
118,Communications of the ACM,2003
118,Communications of the ACM,2004
118,Communications of the ACM,2005
