topicid,title,year,weight
17,3C ON-LINE,1994,0.598675
39,3C ON-LINE,1994,0.2673
131,3C ON-LINE,1994,0.6403
17,3C ON-LINE,1995,0.45778
39,3C ON-LINE,1995,0.2284
45,3C ON-LINE,1995,0.3632
118,3C ON-LINE,1995,0.2007
131,3C ON-LINE,1995,0.2942
177,3C ON-LINE,1995,0.3785
197,3C ON-LINE,1995,0.2833
220,3C ON-LINE,1995,0.4541
17,3C ON-LINE,1996,0.41859
45,3C ON-LINE,1996,0.2393
177,3C ON-LINE,1996,0.3452
191,3C ON-LINE,1996,0.35075
220,3C ON-LINE,1996,0.3706
221,3C ON-LINE,1996,0.3059
17,3C ON-LINE,1997,0.40568
131,3C ON-LINE,1997,0.2517
137,3C ON-LINE,1997,0.2437
150,3C ON-LINE,1997,0.2637
221,3C ON-LINE,1997,0.2995
17,ACM Communications in Computer Algebra,2006,0.3764
74,ACM Communications in Computer Algebra,2006,0.530285714
220,ACM Communications in Computer Algebra,2006,0.4028
74,ACM Communications in Computer Algebra,2007,0.53108125
124,ACM Communications in Computer Algebra,2007,0.2474
17,ACM Communications in Computer Algebra,2008,0.451
74,ACM Communications in Computer Algebra,2008,0.506709091
131,ACM Communications in Computer Algebra,2008,0.2589
180,ACM Communications in Computer Algebra,2008,0.2785
206,ACM Communications in Computer Algebra,2008,0.3727
248,ACM Communications in Computer Algebra,2008,0.2835
74,ACM Communications in Computer Algebra,2011,0.570728571
220,ACM Communications in Computer Algebra,2011,0.51452
39,ACM Computing Surveys,1969,0.3431
67,ACM Computing Surveys,1969,0.4776
150,ACM Computing Surveys,1969,0.2575
191,ACM Computing Surveys,1969,0.4457
220,ACM Computing Surveys,1969,0.53455
67,ACM Computing Surveys,1970,0.4957
170,ACM Computing Surveys,1970,0.5192
67,ACM Computing Surveys,1971,0.389633333
137,ACM Computing Surveys,1971,0.3558
67,ACM Computing Surveys,1972,0.44755
39,ACM Computing Surveys,1973,0.3596
67,ACM Computing Surveys,1973,0.395933333
221,ACM Computing Surveys,1973,0.2861
58,ACM Computing Surveys,1974,0.343
67,ACM Computing Surveys,1974,0.39925
220,ACM Computing Surveys,1974,0.4456
18,ACM Computing Surveys,1975,0.4523
67,ACM Computing Surveys,1975,0.2399
191,ACM Computing Surveys,1975,0.5338
208,ACM Computing Surveys,1975,0.3936
220,ACM Computing Surveys,1975,0.525533333
37,ACM Computing Surveys,1976,0.2094
58,ACM Computing Surveys,1976,0.3038
67,ACM Computing Surveys,1976,0.3313
170,ACM Computing Surveys,1976,0.3417
180,ACM Computing Surveys,1976,0.226
221,ACM Computing Surveys,1976,0.2152
67,ACM Computing Surveys,1977,0.3566
177,ACM Computing Surveys,1977,0.2385
180,ACM Computing Surveys,1977,0.2433
197,ACM Computing Surveys,1977,0.2322
208,ACM Computing Surveys,1977,0.3593
220,ACM Computing Surveys,1977,0.4448
17,ACM Computing Surveys,1978,0.2633
39,ACM Computing Surveys,1978,0.3371
150,ACM Computing Surveys,1978,0.6253
170,ACM Computing Surveys,1978,0.4151
220,ACM Computing Surveys,1978,0.538175
221,ACM Computing Surveys,1978,0.36725
248,ACM Computing Surveys,1978,0.2119
58,ACM Computing Surveys,1979,0.3187
67,ACM Computing Surveys,1979,0.34815
180,ACM Computing Surveys,1979,0.4553
194,ACM Computing Surveys,1979,0.2674
197,ACM Computing Surveys,1979,0.4459
220,ACM Computing Surveys,1979,0.49902
221,ACM Computing Surveys,1979,0.6636
67,ACM Computing Surveys,1980,0.4796
180,ACM Computing Surveys,1980,0.2546
197,ACM Computing Surveys,1980,0.47335
208,ACM Computing Surveys,1980,0.2468
220,ACM Computing Surveys,1980,0.52196
244,ACM Computing Surveys,1980,0.3742
0,ACM Computing Surveys,1981,0.583
67,ACM Computing Surveys,1981,0.2648
70,ACM Computing Surveys,1981,0.2668
197,ACM Computing Surveys,1981,0.4673
220,ACM Computing Surveys,1981,0.50225
244,ACM Computing Surveys,1981,0.788
18,ACM Computing Surveys,1982,0.58555
67,ACM Computing Surveys,1982,0.7749
177,ACM Computing Surveys,1982,0.2696
180,ACM Computing Surveys,1982,0.41505
208,ACM Computing Surveys,1982,0.2536
220,ACM Computing Surveys,1982,0.49902
58,ACM Computing Surveys,1983,0.7031
67,ACM Computing Surveys,1983,0.3369
220,ACM Computing Surveys,1983,0.4421
221,ACM Computing Surveys,1983,0.2955
244,ACM Computing Surveys,1983,0.3016
70,ACM Computing Surveys,1984,0.57345
139,ACM Computing Surveys,1984,0.6231
180,ACM Computing Surveys,1984,0.2745
208,ACM Computing Surveys,1984,0.303433333
220,ACM Computing Surveys,1984,0.4421
39,ACM Computing Surveys,1985,0.6983
61,ACM Computing Surveys,1985,0.2939
67,ACM Computing Surveys,1985,0.2265
244,ACM Computing Surveys,1985,0.6111
67,ACM Computing Surveys,1986,0.2851
150,ACM Computing Surveys,1986,0.2792
170,ACM Computing Surveys,1986,0.2277
180,ACM Computing Surveys,1986,0.8687
197,ACM Computing Surveys,1986,0.286
208,ACM Computing Surveys,1986,0.5739
139,ACM Computing Surveys,1987,0.2051
150,ACM Computing Surveys,1987,0.2255
