topicid,title,year,weight
0,Journal of the ACM,1955,0.38045
0,Communications of the ACM,1964,0.2042
0,Journal of the ACM,1964,0.3664
0,Journal of the ACM,1965,0.2439
0,Communications of the ACM,1969,0.35215
0,ACM SIGARCH Computer Architecture News,1973,0.415975
0,ACM SIGCSE Bulletin,1975,0.2392
0,Journal of the ACM,1975,0.4623
0,ACM SIGARCH Computer Architecture News,1976,0.30705
0,ACM SIGDA Newsletter,1978,0.7925
0,ACM SIGDA Newsletter,1980,0.8026
0,ACM SIGMETRICS Performance Evaluation Review,1980,0.3222
0,ACM Computing Surveys,1981,0.583
0,ACM SIGCSE Bulletin,1981,0.2928
0,Communications of the ACM,1982,0.5621
0,ACM SIGAPL APL Quote Quad,1983,0.33
0,ACM SIGAPL APL Quote Quad,1984,0.3216
0,ACM SIGARCH Computer Architecture News,1984,0.2528
0,ACM SIGMICRO Newsletter,1984,0.327566667
0,ACM SIGARCH Computer Architecture News,1985,0.3339
0,ACM SIGMICRO Newsletter,1985,0.335633333
0,ACM SIGAPL APL Quote Quad,1986,0.3919
0,ACM SIGARCH Computer Architecture News,1986,0.3742
0,ACM SIGCOMM Computer Communication Review,1986,0.2495
0,ACM SIGCSE Bulletin,1986,0.3486
0,ACM SIGMICRO Newsletter,1986,0.379025
0,ACM SIGPLAN Notices,1986,0.2066
0,ACM SIGDA Newsletter,1987,0.2068
0,Journal of the ACM,1987,0.2966
0,ACM SIGARCH Computer Architecture News,1988,0.269
0,ACM SIGDA Newsletter,1988,0.4627
0,ACM SIGMICRO Newsletter,1988,0.2222
0,ACM SIGPLAN Notices,1988,0.2824
0,ACM SIGARCH Computer Architecture News,1989,0.51265
0,ACM SIGMICRO Newsletter,1989,0.2238
0,ACM SIGPLAN Notices,1989,0.2043
0,ACM Computing Surveys,1990,0.4154
0,ACM SIGARCH Computer Architecture News,1990,0.4257
0,ACM SIGMETRICS Performance Evaluation Review,1990,0.2042
0,ACM SIGOIS Bulletin,1990,0.2016
0,ACM SIGDA Newsletter,1991,0.7267
0,ACM SIGSIM Simulation Digest,1991,0.4708
0,Journal of the ACM,1991,0.5292
0,ACM SIGDA Newsletter,1992,0.4869
0,ACM SIGSMALL/PC Notes,1992,0.2434
0,ACM SIGDA Newsletter,1993,0.2192
0,ACM Computing Surveys,1994,0.209
0,ACM SIGSIM Simulation Digest,1994,0.4592
0,IEEE/ACM Transactions on Networking,1994,0.3351
0,ACM SIGARCH Computer Architecture News,1995,0.217
0,ACM SIGSIM Simulation Digest,1996,0.3091
0,ACM SIGSIM Simulation Digest,1997,0.4259
0,ACM Transactions on Programming Languages and Systems,1997,0.29
0,ACM SIGAda Ada Letters,1998,0.3753
0,ACM SIGPLAN Notices,1998,0.2569
0,Communications of the ACM,1999,0.5633
0,ACM SIGARCH Computer Architecture News,2002,0.4042
0,ACM SIGPLAN Notices,2002,0.2461
0,ACM Transactions on Embedded Computing Systems,2004,0.3398
0,ACM SIGARCH Computer Architecture News,2006,0.2558
0,ACM Journal on Emerging Technologies in Computing Systems,2007,0.2927
0,interactions,2008,0.3087
0,ACM SIGCSE Bulletin,2009,0.2572
0,ACM SIGPLAN Notices,2009,0.4531
0,ACM Transactions on Reconfigurable Technology and Systems,2009,0.2358
0,ACM Transactions on Reconfigurable Technology and Systems,2010,0.2384
0,ACM Journal on Emerging Technologies in Computing Systems,2011,0.2078
0,ACM SIGPLAN Notices,2011,0.2112
0,interactions,2011,0.3084
16,ACM SIGCOMM Computer Communication Review,0,0.6492
16,ACM SIGPLAN Notices,0,0.3162
16,Queue,0,0.6426
16,Communications of the ACM,1969,0.2763
16,Journal of the ACM,1969,0.233
16,ACM SIGPLAN Notices,1973,0.2707
16,ACM SIGPLAN Notices,1975,0.3602
16,ACM SIGSIM Simulation Digest,1976,0.2568
16,ACM SIGNUM Newsletter,1978,0.31494
16,ACM Transactions on Mathematical Software,1978,0.2389
16,ACM SIGAPL APL Quote Quad,1979,0.2416
16,ACM SIGMETRICS Performance Evaluation Review,1980,0.2369
16,ACM SIGAPL APL Quote Quad,1981,0.2819
16,ACM SIGCOMM Computer Communication Review,1981,0.3091
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1981,0.458833333
16,ACM SIGMETRICS Performance Evaluation Review,1981,0.5858
16,ACM SIGOA Newsletter,1981,0.415
16,ACM SIGPLAN Notices,1981,0.415
16,ACM SIGSOC Bulletin,1981,0.2652
16,ACM SIGAPL APL Quote Quad,1982,0.27745
16,Communications of the ACM,1982,0.34065
16,ACM SIGCSE Bulletin,1983,0.271
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1983,0.2139
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1984,0.2988
16,ACM SIGPLAN Notices,1984,0.3266
16,ACM SIGSOFT Software Engineering Notes,1984,0.3266
16,ACM SIGAda Ada Letters,1986,0.2525
16,ACM SIGCHI Bulletin,1986,0.2243
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1986,0.2025
16,ACM SIGPLAN Notices,1986,0.335266667
16,ACM SIGAPL APL Quote Quad,1987,0.3471
16,ACM SIGAda Ada Letters,1987,0.2356
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1987,0.5509
16,ACM SIGSOFT Software Engineering Notes,1987,0.437
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1988,0.268066667
16,ACM SIGPLAN Notices,1988,0.2299
16,ACM SIGSOFT Software Engineering Notes,1988,0.2187
16,ACM Transactions on Programming Languages and Systems,1988,0.2379
16,Communications of the ACM,1988,0.4655
16,ACM SIGPLAN Lisp Pointers,1989,0.2101
16,ACM SIGSOFT Software Engineering Notes,1989,0.32236
16,ACM SIGAda Ada Letters,1990,0.3086
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1990,0.2576
16,ACM SIGPLAN Notices,1990,0.2979
16,ACM SIGSOFT Software Engineering Notes,1990,0.26965
16,Communications of the ACM,1990,0.3473
16,ACM SIGCSE Bulletin,1991,0.2358
16,ACM SIGPLAN Notices,1991,0.26315
16,ACM SIGSMALL/PC Notes,1991,0.2427
16,Communications of the ACM,1991,0.2991
16,ACM SIGOPS Operating Systems Review,1992,0.3797
16,ACM SIGPLAN Notices,1992,0.2408
16,ACM SIGSOFT Software Engineering Notes,1992,0.31515
16,ACM Transactions on Software Engineering and Methodology,1992,0.25765
16,Communications of the ACM,1992,0.2994
16,ACM SIGAPL APL Quote Quad,1993,0.3011
16,ACM SIGFORTH Newsletter,1993,0.2102
16,ACM SIGOIS Bulletin,1993,0.2056
16,ACM SIGPLAN OOPS Messenger,1993,0.4045
16,ACM SIGSOFT Software Engineering Notes,1993,0.5975
16,ACM Transactions on Programming Languages and Systems,1993,0.2201
16,ACM Transactions on Software Engineering and Methodology,1993,0.5009
16,StandardView,1993,0.379
16,ACM SIGARCH Computer Architecture News,1994,0.3377
16,ACM SIGAda Ada Letters,1994,0.4105
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1994,0.278333333
16,ACM SIGSOFT Software Engineering Notes,1994,0.530666667
16,Communications of the ACM,1994,0.352933333
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1995,0.3808
16,ACM SIGMIS Database,1995,0.3478
16,ACM SIGPLAN Notices,1995,0.348
16,ACM SIGSOFT Software Engineering Notes,1995,0.48
16,ACM SIGAda Ada Letters,1996,0.2412
16,ACM SIGCHI Bulletin,1996,0.2952
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1996,0.27245
16,ACM SIGICE Bulletin,1996,0.2144
