Sum of weight,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,3C ON-LINE,ACM Communications in Computer Algebra,ACM Computing Surveys,ACM Inroads,ACM Journal of Computer Documentation,ACM Journal on Emerging Technologies in Computing Systems,ACM Letters on Programming Languages and Systems,ACM SIGACCESS Accessibility and Computing,ACM SIGACT News,ACM SIGAda Ada Letters,ACM SIGAPL APL Quote Quad,ACM SIGAPP Applied Computing Review,ACM SIGARCH Computer Architecture News,ACM SIGART Bulletin,ACM SIGBED Review,ACM SIGBIO Newsletter,ACM SIGCAPH Computers and the Physically Handicapped,ACM SIGCAS Computers and Society,ACM SIGCHI Bulletin,ACM SIGCOMM Computer Communication Review,ACM SIGCPR Computer Personnel,ACM SIGCSE Bulletin,ACM SIGCUE Outlook,ACM SIGDA Newsletter,ACM SIGDOC Asterisk Journal of Computer Documentation,ACM SIGecom Exchanges,ACM SIGEVOlution,ACM SIGFORTH Newsletter,ACM SIGGRAPH Computer Graphics,ACM SIGGROUP Bulletin,ACM SIGHIT Record,ACM SIGICE Bulletin,ACM SIGIR Forum,ACM SIGITE Newsletter,ACM SIGKDD Explorations Newsletter,ACM SIGMETRICS Performance Evaluation Review,ACM SIGMICRO Newsletter,ACM SIGMINI Newsletter,ACM SIGMIS Database,ACM SIGMOBILE Mobile Computing and Communications Review,ACM SIGMOD Record,ACM SIGMultimedia Records,ACM SIGNUM Newsletter,ACM SIGOA Newsletter,ACM SIGOIS Bulletin,ACM SIGOPS Operating Systems Review,ACM SIGPLAN Fortran Forum,ACM SIGPLAN Lisp Pointers,ACM SIGPLAN Notices,ACM SIGPLAN OOPS Messenger,ACM SIGSAC Review,ACM SIGSAM Bulletin,ACM SIGSIM Simulation Digest,ACM SIGSMALL Newsletter,ACM SIGSMALL/PC Notes,ACM SIGSOC Bulletin,ACM SIGSOFT Software Engineering Notes,ACM SIGUCCS Newsletter,ACM SIGWEB Newsletter,ACM Transactions on Accessible Computing,ACM Transactions on Algorithms,ACM Transactions on Applied Perception,ACM Transactions on Architecture and Code Optimization,ACM Transactions on Asian Language Information Processing,ACM Transactions on Autonomous and Adaptive Systems,ACM Transactions on Computation Theory,ACM Transactions on Computational Logic,ACM Transactions on Computer Systems,ACM Transactions on Computer-Human Interaction,ACM Transactions on Computing Education,ACM Transactions on Embedded Computing Systems,ACM Transactions on Information and System Security,ACM Transactions on Intelligent Systems and Technology,ACM Transactions on Interactive Intelligent Systems,ACM Transactions on Knowledge Discovery from Data,ACM Transactions on Management Information Systems,ACM Transactions on Mathematical Software,"ACM Transactions on Multimedia Computing, Communications, and Applications",ACM Transactions on Programming Languages and Systems,ACM Transactions on Reconfigurable Technology and Systems,ACM Transactions on Sensor Networks,ACM Transactions on Software Engineering and Methodology,ACM Transactions on Speech and Language Processing,ACM Transactions on Storage,ACM Transactions on the Web,Communications of the ACM,Computers in Entertainment,Crossroads,eLearn,IEEE/ACM Transactions on Computational Biology and Bioinformatics,IEEE/ACM Transactions on Networking,intelligence,interactions,Journal of Data and Information Quality,Journal of Educational Resources in Computing,Journal of Experimental Algorithmics,Journal of the ACM,Journal on Computing and Cultural Heritage,Journal on Educational Resources in Computing,netWorker,Queue,SIGSPATIAL Special,StandardView,Ubiquity,"XRDS: Crossroads, The ACM Magazine for Students",Grand Total
0,,,,,,,,,,,,,0.5068,,,,,,,2.745216667,,,,,,,,,,,,,,,,,,,0.4399,,,,,,,,,,2.20155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3793945,,,,,,,,,,,,1.3754,,,1.0624,,10.71066117
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8374,,,,,,,,,1.8374
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4062,,,,,,,,,2.4062
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55345,,,,,,,,,2.55345
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.829766667,,,,,,,,,3.829766667
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977833333,,,,,,,,,0.977833333
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35795,,,,,,,,,,,2.61211,,,,,,,,,3.97006
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3748,,,,,,,,,,,2.10409,,,,,,,,,2.47889
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96375119,,,,,,,,,,,3.120116667,,,,,,,,,8.083867857
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4996,,,,,,,,,,,2.611974286,,,,,,,,,3.111574286
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.639716667,,,,,,,,,,,1.773516667,,,,,,,,,3.413233334
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.117012301,,,,,,,,,,,2.8535,,,,,,,,,8.970512301
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.848718005,,,,,,,,,,,2.643133333,,,,,,,,,8.491851338
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519033333,,,,,,,,,2.519033333
